2020-04-23 11:06:41 status half-installed perl-base:amd64 5.30.0-9build1
2020-04-23 11:06:42 status unpacked perl-base:amd64 5.30.0-9build1
2020-04-23 11:06:42 configure perl-base:amd64 5.30.0-9build1 5.30.0-9build1
2020-04-23 11:06:42 status half-configured perl-base:amd64 5.30.0-9build1
2020-04-23 11:06:42 status installed perl-base:amd64 5.30.0-9build1
2020-04-23 11:06:42 startup archives install
2020-04-23 11:06:42 install mawk:amd64 <none> 1.3.4.20200120-2
2020-04-23 11:06:42 status half-installed mawk:amd64 1.3.4.20200120-2
2020-04-23 11:06:42 status unpacked mawk:amd64 1.3.4.20200120-2
2020-04-23 11:06:42 configure mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2020-04-23 11:06:42 status half-configured mawk:amd64 1.3.4.20200120-2
2020-04-23 11:06:42 status installed mawk:amd64 1.3.4.20200120-2
2020-04-23 11:06:42 startup archives unpack
2020-04-23 11:06:42 upgrade base-files:amd64 11ubuntu5 11ubuntu5
2020-04-23 11:06:42 status half-configured base-files:amd64 11ubuntu5
2020-04-23 11:06:42 status unpacked base-files:amd64 11ubuntu5
2020-04-23 11:06:42 status half-installed base-files:amd64 11ubuntu5
2020-04-23 11:06:42 status unpacked base-files:amd64 11ubuntu5
2020-04-23 11:06:42 upgrade base-passwd:amd64 3.5.47 3.5.47
2020-04-23 11:06:42 status half-configured base-passwd:amd64 3.5.47
2020-04-23 11:06:42 status unpacked base-passwd:amd64 3.5.47
2020-04-23 11:06:42 status half-installed base-passwd:amd64 3.5.47
2020-04-23 11:06:42 status unpacked base-passwd:amd64 3.5.47
2020-04-23 11:06:42 install bash:amd64 <none> 5.0-6ubuntu1
2020-04-23 11:06:42 status half-installed bash:amd64 5.0-6ubuntu1
2020-04-23 11:06:42 status unpacked bash:amd64 5.0-6ubuntu1
2020-04-23 11:06:42 install bsdutils:amd64 <none> 1:2.34-0.1ubuntu9
2020-04-23 11:06:42 status half-installed bsdutils:amd64 1:2.34-0.1ubuntu9
2020-04-23 11:06:42 status unpacked bsdutils:amd64 1:2.34-0.1ubuntu9
2020-04-23 11:06:42 install coreutils:amd64 <none> 8.30-3ubuntu2
2020-04-23 11:06:42 status half-installed coreutils:amd64 8.30-3ubuntu2
2020-04-23 11:06:42 status unpacked coreutils:amd64 8.30-3ubuntu2
2020-04-23 11:06:42 install dash:amd64 <none> 0.5.10.2-6
2020-04-23 11:06:42 status half-installed dash:amd64 0.5.10.2-6
2020-04-23 11:06:42 status unpacked dash:amd64 0.5.10.2-6
